"source_id";"type";"reg_number";"category";"homebase";"max_pax";"yom";"operator"
"43";"Challenger 604";"N529KF";"Heavy";"KSBP";"12.0";"2000.0";"ACI Jet"
"44";"Challenger 604";"N5481T";"Heavy";"KSBP";"10.0";"2001.0";"ACI Jet"
"45";"Challenger 604";"N605AM";"Heavy";"KSBP";"12.0";"2004.0";"ACI Jet"
"46";"Citation XLS";"N134FM";"Light";"KSBP";"9.0";"2005.0";"ACI Jet"
"47";"Citation XLS";"N717NB";"Light";"KSBP";"9.0";"2007.0";"ACI Jet"
"48";"Citation XLS";"N876UC";"Light";"KSBP";"8.0";"2006.0";"ACI Jet"
"49";"GlobalExpress";"N319GG";"Heavy";"KSBP";"19.0";"2000.0";"ACI Jet"
"50";"GlobalExpress XRS";"N624BR ";"Heavy";"KSBP";"14.0";"2008.0";"ACI Jet"
"51";"GlobalExpress XRS";"N726BF";"Heavy";"KSBP";"11.0";"2010.0";"ACI Jet"
"52";"Gulfstream G-IVSP";"N74GG";"Heavy";"KSBP";"12.0";"1998.0";"ACI Jet"
"53";"Gulfstream G-IV";"TC-GVA";"Heavy";"LTBA";"16.0";"1989.0";"ACM HAVAYOLLARI SANAYI TIC.LTD.STI"
"54";"Gulfstream G-IV";"TC-GVB";"Heavy";"LTBA";"16.0";"1988.0";"ACM HAVAYOLLARI SANAYI TIC.LTD.STI"
"55";"Falcon 2000LX Easy";"D-BLUE";"Heavy";"EDSB";"10.0";"2008.0";"ACM AIR Charter"
"56";"Global Express";"D-ACDF";"Heavy";"EDSB";"13.0";"2001.0";"ACM AIR Charter"
"57";"Airbus 319 Corporate Jet";"G-NOAH";"Heavy";"EGLF";"19.0";"2009.0";"Acropolis Aviation Ltd"
"58";"Gulfstream G-200";"HS-HAN";"Medium";"VTBD";"10.0";"2007.0";"Advance Aviation Jet"
"59";"Dornier 328 Jet";"N192T";"Heavy";"KHHR";"30.0";"2002.0";"Advanced Air LLC"
"60";"Dornier 328 Jet";"N192TS";"Heavy";"KAUS";"30.0";"2002.0";"Advanced Air LLC"
"61";"King Air 350";"N291E";"Turbo-prop";"KHHR";"9.0";"2007.0";"Advanced Air LLC"
"62";"King Air 350";"N337GJ";"Turbo-prop";"KHHR";"9.0";"2001.0";"Advanced Air LLC"
"63";"King Air 350";"N395AA";"Turbo-prop";"KHHR";"9.0";"1991.0";"Advanced Air LLC"
"64";"King Air 350";"N395AV";"Turbo-prop";"KHHR";"9.0";"2003.0";"Advanced Air LLC"
"65";"King Air 350";"N395MB";"Turbo-prop";"KHHR";"9.0";"2003.0";"Advanced Air LLC"
"66";"King Air 350";"N575RD";"Turbo-prop";"KHHR";"9.0";"2000.0";"Advanced Air LLC"
"67";"King Air 350i";"N21RF";"Turbo-prop";"KLGB";"9.0";"2019.0";"Advanced Air LLC"
"68";"Learjet 45XR";"N39KJ";"Light";"KHHR";"9.0";"2008.0";"Advanced Air LLC"
"69";"Learjet 75";"N575AR";"Light";"KHHR";"9.0";"2013.0";"Advanced Air LLC"
"70";"Pilatus PC-12/47E (NG)";"N819SA";"Turbo-prop";"KHHR";"8.0";"2014.0";"Advanced Air LLC"
"71";"Pilatus PC-12/47E (NG)";"N853SA";"Turbo-prop";"KHHR";"8.0";"2015.0";"Advanced Air LLC"
"72";"Pilatus PC-12/47E (NG)";"N874SA";"Turbo-prop";"KHHR";"8.0";"1997.0";"Advanced Air LLC"
"73";"Pilatus PC-12/47E (NG)";"N88AQ";"Turbo-prop";"KHHR";"8.0";"2008.0";"Advanced Air LLC"
"74";"Pilatus PC-12/47E (NG)";"N927JC";"Turbo-prop";"KHHR";"8.0";"2009.0";"Advanced Air LLC"
"75";"Citation CJ4";"N448CJ";"Light";"KHWD";"9.0";"2014.0";"Advantage Aviation Charter"
"76";"Citation X";"N224 ";"Medium";"KHWD";"9.0";"2006.0";"Advantage Aviation Charter"
"77";"Citation X";"N448CX";"Medium";"KHWD";"9.0";"2006.0";"Advantage Aviation Charter"
"78";"Gulfstream G-V";"N54BS";"Heavy";"KOAK";"14.0";"2001.0";"Advantage Aviation Charter"
"79";"King Air C90GTx";"N448CR";"Turbo-prop";"KPAO";"7.0";"2013.0";"Advantage Aviation Charter"
"80";"King Air ";"I-MLPA";"Turbo-prop";"LIPE";"9.0";"2003.0";"AElia SRL"
"81";"King Air B2000GT";"D-CEER";"Turbo-prop";"LIMJ";"7.0";"2018.0";"AElia SRL"
"82";"Challanger 605";"N605AG";"Heavy";"KBCT";"12.0";"2008.0";"AEM Aviation"
"83";"Challanger 605";"N605AJ";"Heavy";"KBCT";"10.0";"2007.0";"AEM Aviation"
"84";"King Air B-200";"VH-XGV";"Turbo-prop";"YBBN";"11.0";"1985.0";"AERgO International Pty Ltd"
"85";"King Air B-200";"VH-URU";"Turbo-prop";"YPAD";"10.0";"1982.0";"AERgO International Pty Ltd"
"86";"Citation V";"N508KD";"Light";"KPNS";"7.0";"1991.0";"Aero Air Charter, LLC"
"87";"Citation V";"N900PS";"Light";"KPNS";"7.0";"1991.0";"Aero Air Charter, LLC"
"88";"Citation XLS";"N72SG";"Light";"KPNS";"9.0";"2004.0";"Aero Air Charter, LLC"
"89";"Citation Sovereign";"JA-04AA";"Medium";"RJNA";"8.0";"2008.0";"Aero Asahi Corp."
"90";"Piper Chieftain";"N35580";"Turbo-prop";"1B9";"7.0";"1980.0";"Aero Charter New England"
"91";"Beechjet 400A";"N400SF";"Light";"KSUS";"7.0";"1999.0";"Aero Charter, Inc"
"92";"Citation CJ2";"N800GF";"Light";"KSUS";"7.0";"2001.0";"Aero Charter, Inc"
"93";"Citation XLS";"N777LX";"Light";"KSUS";"8.0";"2007.0";"Aero Charter, Inc"
"94";"Citation XLS";"N906AC";"Light";"KSUS";"9.0";"2005.0";"Aero Charter, Inc"
"95";"Citation XLS+";"N157XL";"Light";"KSUS";"9.0";"2013.0";"Aero Charter, Inc"
"96";"Citation XLS+";"N305LX";"Light";"KSUS";"9.0";"2010.0";"Aero Charter, Inc"
"97";"King Air 350";"N910BD";"Turbo-prop";"KSUS";"6.0";"2006.0";"Aero Charter, Inc"
"98";"King Air B200";"N925BB";"Turbo-prop";"KSGF";"7.0";"2000.0";"Aero Charter, Inc"
"99";"Pilatus PC-12/47E (NG)";"N345NX";"Turbo-prop";"KSUS";"9.0";"2012.0";"Aero Charter, Inc"
"100";"Pilatus PC-12/47E (NG)";"N401LX";"Turbo-prop";"KSUS";"9.0";"2010.0";"Aero Charter, Inc"
"101";"Pilatus PC-12/47E (NG)";"N5346M";"Turbo-prop";"KSUS";"9.0";"2009.0";"Aero Charter, Inc"
"102";"Citation CJ3";"N125DG";"Light";"KPVU";"8.0";"2006.0";"Aero Dynamic Jets"
"103";"PA-34-200T";"OB-2064P";"Turbo-prop";"SPLX";"4.0";"1980.0";"Aero Link S.A.C."
"104";"Piper Chieftain";"OB-2110P";"Turbo-prop";"SPLX";"6.0";"1983.0";"Aero Link S.A.C."
"105";"Gulfstream G-200";"OB-2023";"Medium";"SPJC";"10.0";"2001.0";"Aero Transporte S.A 'ATSA'"
"106";"Westwind Astra 1125";"OB-2108-P";"Medium";"SPJC";"7.0";"1986.0";"Aero Transporte S.A 'ATSA'"
"107";"King Air 200";"N404DP";"Turbo-prop";"KMRB";"8.0";"1981.0";"Aero-Smith, Inc."
"108";"Citation Latitude";"CC-AXC";"Medium";"SCEL";"8.0";"2017.0";"Aerocardal"
"109";"Gulfstream G-150";"CC-AOA";"Medium";"SCEL";"8.0";"2007.0";"Aerocardal"
"110";"Gulfstream G-280";"CC-AYY";"Medium";"SCEL";"10.0";"2019.0";"Aerocardal"
"111";"Pilatus PC 12";"CC-ANY";"Turbo-prop";"SCEL";"8.0";"2015.0";"Aerocardal"
"112";"Citation XLS";"OO-MMT";"Light";"EHAM";"9.0";"2006.0";"Aerodynamics BV"
"113";"Pilatus PC 12/45";"N818RA";"Turbo-prop";"KFMY";"8.0";"1997.0";"Aeronautical Charters, Inc."
"114";"Pilatus PC 12/45";"N977XL";"Turbo-prop";"KFMY";"8.0";"1998.0";"Aeronautical Charters, Inc."
"115";"Pilatus PC-12/47E (NG)";"N408DA";"Turbo-prop";"KVRB";"6.0";"2016.0";"Aeronautical Charters, Inc."
"116";"Pilatus PC-12/47E (NG)";"N893WB";"Turbo-prop";"KFMY";"6.0";"2009.0";"Aeronautical Charters, Inc."
"117";"Boeing 767-300ER";"ZS-NEX";"Heavy";"EGSS";"96.0";"1990.0";"Aeronexus Corporate (PTY) LTD"
"118";"Citation CJ2+";"OK-MAR";"Light";"LKPR";"5.0";"2009.0";"AEROPARTNER"
"119";"Citation CJ3";"OK-KIN";"Light";"LKPR";"6.0";"2011.0";"AEROPARTNER"
"120";"Citation Excel";"OK-HAR";"Light";"LKPR";"8.0";"2002.0";"AEROPARTNER"
"121";"Citation Mustang";"OK-KUK";"Light";"LKPR";"4.0";"2009.0";"AEROPARTNER"
"122";"Citation Mustang";"OK-OBR";"Light";"LKPR";"4.0";"2010.0";"AEROPARTNER"
"123";"HondaJet";"OK-HDJ";"Light";"LKPR";"5.0";"2018.0";"AEROPARTNER"
"124";"Cheyenne IIXL";"D-ITEM";"Turbo-prop";"EDDB";"6.0";"1995.0";"AEROTOURS GmbH"
"125";"Citation Latitude";"D-CAWK";"Medium";"EDDV";"9.0";"2017.0";"Aerowest GmbH"
"126";"Citation Latitude";"D-CAWN";"Medium";"EDDV";"9.0";"2019.0";"Aerowest GmbH"
"127";"Citation Sovereign";"D-CAWB";"Medium";"EDDV";"9.0";"2012.0";"Aerowest GmbH"
"128";"Citation Sovereign+";"D-CARO";"Medium";"EDDV";"9.0";"2014.0";"Aerowest GmbH"
"129";"Citation Sovereign+";"D-CAWX";"Medium";"EDDV";"9.0";"2014.0";"Aerowest GmbH"
"130";"Citation XLS+";"D-CAWO";"Light";"EDDV";"8.0";"2019.0";"Aerowest GmbH"
"131";"ATR 72-500";"TR-ATR";"Heavy";"FOOL";"66.0";"2008.0";"Afrijet Business Service"
"132";"Falcon 900";"TR-AFR";"Heavy";"FOOL";"12.0";"1989.0";"Afrijet Business Service"
"133";"Gulfstream G-V";"N176SM";"Heavy";"KCMA";"14.0";"2001.0";"Air 7 LLC"
"134";"Learjet 60XR";"N364AR";"Medium";"KCMA";"8.0";"2008.0";"Air 7 LLC"
"135";"Legacy 600";"N888JK";"Heavy";"KCMA";"13.0";"2008.0";"Air 7 LLC"
"136";"Premier I";"N368CS";"Light";"KBUR";"6.0";"2008.0";"Air 7 LLC"
"137";"Premier IA";"N390AB";"Light";"KONT";"6.0";"2008.0";"Air 7 LLC"
"138";"Falcon 2000LXS";"OY-CKK";"Heavy";"EKBI";"10.0";"2014.0";"Air Alsie"
"139";"Falcon 2000LXS";"OY-GFS";"Heavy";"EKBI";"10.0";"2017.0";"Air Alsie"
"140";"Falcon 2000LXS";"OY-MGA";"Heavy";"EKCH";"6.0";"2016.0";"Air Alsie"
"141";"Falcon 2000S";"OY-GWK";"Heavy";"LSGG";"6.0";"2013.0";"Air Alsie"
"142";"Falcon 7X";"D-ACFL";"Heavy";"EDVE";"12.0";"2014.0";"Air Alsie"
"143";"Falcon 7X";"OY-EKC";"Heavy";"EKBI";"14.0";"2011.0";"Air Alsie"
"144";"Falcon 7X";"OY-PGA";"Heavy";"VTBD";"14.0";"2011.0";"Air Alsie"
"145";"Falcon 7X";"OY-RAB";"Heavy";"EKSB";"12.0";"2010.0";"Air Alsie"
"146";"Falcon 8X";"OY-DBS";"Heavy";"EKSB";"14.0";"2017.0";"Air Alsie"
"147";"Falcon 8X";"OY-NEW";"Heavy";"EKSB";"4.0";"2018.0";"Air Alsie"
"148";"Falcon 8X";"OY-OLD";"Heavy";"ESSB";"4.0";"2017.0";"Air Alsie"
"149";"Falcon 8X";"OY-SKK";"Heavy";"EKSB";"14.0";"2017.0";"Air Alsie"
"150";"Pilatus PC-12/47E (NG)";"OY-VLT";"Turbo-prop";"EKSB";"6.0";"2019.0";"Air Alsie"
"151";"Beechjet 400A";"N213BK";"Light";"KMKC";"8.0";"1999.0";"Air Associates Charter, Inc."
"152";"Citation CJ3";"N1LF";"Light";"KOJC";"7.0";"2011.0";"Air Associates Charter, Inc."
"153";"King Air 200";"N1HX";"Turbo-prop";"KOJC";"9.0";"1978.0";"Air Associates Charter, Inc."
"154";"Citation Excel";"OK-AST";"Light";"LKPR";"9.0";"2000.0";"Air Bohemia a.s."
"155";"Beech 1900C";"N191CZ";"Turbo-prop";"KMKE";"1.0";"1986.0";"Freight Runners Express Inc."
"156";"Beech 1900C";"N192CZ";"Turbo-prop";"KMKE";"1.0";"1990.0";"Freight Runners Express Inc."
"157";"Beech 1900C";"N193CZ";"Turbo-prop";"KMKE";"1.0";"1989.0";"Freight Runners Express Inc."
"158";"Beech 99";"N109CZ";"Turbo-prop";"KMKE";"1.0";"1968.0";"Freight Runners Express Inc."
"159";"Beech 99";"N199CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"160";"Beech 99";"N299CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"161";"Beech 99";"N399CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"162";"Beech 99";"N499CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"163";"Beech 99";"N599CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"164";"Beech 99";"N699CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"165";"Beech 99";"N799CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"166";"Beech 99";"N899CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"167";"Beech B99";"N999CZ";"Turbo-prop";"KMKE";"1.0";"1969.0";"Freight Runners Express Inc."
"168";"Embraer 120";"N120HL";"Heavy";"KMKE";"1.0";"1989.0";"Freight Runners Express Inc."
"169";"Embraer 120";"N121CZ";"Heavy";"KMKE";"30.0";"1999.0";"Freight Runners Express Inc."
"170";"Embraer 120";"N122HL";"Heavy";"KMKE";"1.0";"1993.0";"Freight Runners Express Inc."
"171";"Embraer 120";"N124HL";"Heavy";"KMKE";"1.0";"1994.0";"Freight Runners Express Inc."
"172";"Embraer 120";"N126CZ";"Heavy";"KMKE";"30.0";"1996.0";"Freight Runners Express Inc."
"173";"Embraer 120";"N128HL";"Heavy";"KMKE";"30.0";"1999.0";"Freight Runners Express Inc."
"174";"King Air 350";"N919BW";"Turbo-prop";"KMKE";"9.0";"1997.0";"Freight Runners Express Inc."
"175";"King Air 350";"N983AR";"Turbo-prop";"KMKE";"9.0";"1999.0";"Freight Runners Express Inc."
"176";"Citation CJ";"G-KION";"Light";"EGNT";"5.0";"1998.0";"Air Charter Scotland Ltd"
"177";"Citation Excel";"G-IPAX";"Light";"EGGW";"9.0";"2002.0";"Air Charter Scotland Ltd"
"178";"Citation Latitude";"G-SHUI";"Medium";"EGSS";"8.0";"2017.0";"Air Charter Scotland Ltd"
"179";"Citation XLS+";"G-CKUB";"Light";"EGGW";"9.0";"2014.0";"Air Charter Scotland Ltd"
"180";"Falcon 7X";"G-MATO";"Heavy";"EGGW";"16.0";"2016.0";"Air Charter Scotland Ltd"
"181";"Legacy 500";"G-ESNA";"Medium";"EGGW";"8.0";"2017.0";"Air Charter Scotland Ltd"
"182";"Legacy 500";"G-WLKR";"Medium";"EGSS";"8.0";"2018.0";"Air Charter Scotland Ltd"
"183";"Legacy 650";"G-SUGR";"Heavy";"EGSS";"13.0";"2014.0";"Air Charter Scotland Ltd"
"184";"Legacy 650";"G-WIRG";"Heavy";"EGGW";"13.0";"2013.0";"Air Charter Scotland Ltd"
"185";"Agusta A109S";"VT-IKR";"Helicopter twin engine";"VIDP";"5.0";"2008.0";"AIR CHARTER SERVICES PVT. LTD."
"186";"Citation Mustang";"VT-IAM";"Light";"VIDP";"4.0";"2013.0";"AIR CHARTER SERVICES PVT. LTD."
"187";"Citation XLS";"VT-DVV";"Light";"VIDP";"8.0";"2002.0";"AIR CHARTER SERVICES PVT. LTD."
"188";"Falcon 2000LX";"VT-BVV";"Heavy";"VIDP";"10.0";"2009.0";"AIR CHARTER SERVICES PVT. LTD."
"189";"King Air 300";"PH-ACE";"Turbo-prop";"EHGG";"9.0";"1985.0";"Air Charters Europe"
"190";"Learjet 35A";"N220GS";"Light";"KTEB";"7.0";"1979.0";"Air Charters, Inc."
"191";"Learjet 35A";"N604GS";"Light";"KTEB";"8.0";"1985.0";"Air Charters, Inc."
"192";"Learjet 55";"N211GS";"Medium";"KTEB";"7.0";"1982.0";"Air Charters, Inc."
"193";"Challenger 601-3A";"9H-ART";"Heavy";"LKPR";"9.0";"1993.0";"Air CM Global Ltd"
"194";"Global Express";"9H-AYS";"Heavy";"EGKB";"16.0";"2001.0";"Air CM Global Ltd"
"195";"Learjet 60XR";"9H-SAN";"Medium";"EHRD";"8.0";"2008.0";"Air CM Global Ltd"
"196";"Cessna 402B";"N402PA";"Turbo-prop";"KFLL";"7.0";"1974.0";"Air Flight, Inc"
"197";"Cessna 402C";"N322HA";"Turbo-prop";"KFLL";"7.0";"1982.0";"Air Flight, Inc"
"198";"Cessna 402C";"N402JH";"Turbo-prop";"KFLL";"8.0";"1980.0";"Air Flight, Inc"
"199";"Cessna 402C";"N55LP";"Turbo-prop";"KFLL";"9.0";"1982.0";"Air Flight, Inc"
"200";"Cessna 402C";"N997TA";"Turbo-prop";"KFLL";"8.0";"0.0";"Air Flight, Inc"
"201";"Citation CJ2";"D-IBJJ";"Light";"EDDH";"5.0";"2002.0";"Air Hamburg"
"202";"Citation XLS+";"D-CAHO";"Light";"LIML";"8.0";"2014.0";"Air Hamburg"
"203";"Citation XLS+";"D-CANG";"Light";"LIML";"8.0";"2013.0";"Air Hamburg"
"204";"Citation XLS+";"D-CDCM";"Light";"LIML";"8.0";"2012.0";"Air Hamburg"
"205";"Citation XLS+";"D-CEFO";"Light";"LIML";"8.0";"2011.0";"Air Hamburg"
"206";"Citation XLS+";"D-CFLY";"Light";"LIML";"8.0";"2009.0";"Air Hamburg"
"207";"Citation XLS+";"D-CGAA";"Light";"LIML";"8.0";"2014.0";"Air Hamburg"
"208";"Citation XLS+";"D-CJMK";"Light";"LIML";"8.0";"2019.0";"Air Hamburg"
"209";"Citation XLS+";"D-CKJM";"Light";"LIML";"8.0";"2019.0";"Air Hamburg"
"210";"Citation XLS+";"D-CSUN";"Light";"LIML";"8.0";"2012.0";"Air Hamburg"
"211";"Citation XLS+";"D-CXLS";"Light";"LIML";"8.0";"2009.0";"Air Hamburg"
"212";"Falcon 7X";"D-ASIM";"Heavy";"LFPB";"14.0";"2010.0";"Air Hamburg"
"213";"Legacy 600";"D-AERO";"Heavy";"LIML";"13.0";"2015.0";"Air Hamburg"
"214";"Legacy 600";"D-AVIB";"Heavy";"LIML";"13.0";"2009.0";"Air Hamburg"
"215";"Legacy 650";"D-AFBS";"Heavy";"LIML";"13.0";"2015.0";"Air Hamburg"
"216";"Legacy 650";"D-AFUN";"Heavy";"LIML";"13.0";"2015.0";"Air Hamburg"
"217";"Legacy 650";"D-AHOI";"Heavy";"LIML";"13.0";"2015.0";"Air Hamburg"
"218";"Legacy 650";"D-AHOS";"Heavy";"LIML";"13.0";"2015.0";"Air Hamburg"
"219";"Legacy 650";"D-AHOX";"Heavy";"LIML";"13.0";"2015.0";"Air Hamburg"
"220";"Legacy 650";"D-AIRG";"Heavy";"LIML";"13.0";"2018.0";"Air Hamburg"
"221";"Legacy 650";"D-AIRV";"Heavy";"LIML";"13.0";"2019.0";"Air Hamburg"
"222";"Legacy 650";"D-AIRZ";"Heavy";"EDDH
";"13.0";"2019.0";"Air Hamburg"
"223";"Legacy 650";"D-AJET";"Heavy";"LIML";"13.0";"2017.0";"Air Hamburg"
"224";"Legacy 650";"D-ALOA";"Heavy";"LIML";"13.0";"2016.0";"Air Hamburg"
"225";"Legacy 650";"D-ARMY";"Heavy";"LIML";"13.0";"2017.0";"Air Hamburg"
"226";"Legacy 650";"D-ASAP";"Heavy";"LIML";"13.0";"2017.0";"Air Hamburg"
"227";"Legacy 650";"D-ATOP";"Heavy";"LIML";"13.0";"2018.0";"Air Hamburg"
"228";"Legacy 650";"D-AWIN";"Heavy";"LIML";"13.0";"2018.0";"Air Hamburg"
"229";"Legacy 650";"D-AZUR";"Heavy";"LIML";"13.0";"2016.0";"Air Hamburg"
"230";"Phenom 300";"D-CASH";"Light";"LIML";"8.0";"2017.0";"Air Hamburg"
"231";"Phenom 300";"D-CHIC";"Light";"LIML";"6.0";"2013.0";"Air Hamburg"
"232";"Phenom 300";"D-CKJE";"Light";"LIML";"8.0";"2017.0";"Air Hamburg"
"233";"Phenom 300E";"D-CROG";"Light";"LIML";"6.0";"2019.0";"Air Hamburg"
"234";"Challenger 604";"D-AAAX";"Heavy";"LSZH";"10.0";"2004.0";"Air Independence"
"235";"Challenger 604";"D-AAAY";"Heavy";"LSZH";"12.0";"2006.0";"Air Independence"
"236";"Challenger 604";"D-ATMJ";"Heavy";"LSZH";"10.0";"2003.0";"Air Independence"
"237";"Challenger 604";"OE-ITH";"Heavy";"EDDM";"10.0";"2006.0";"Air Independence"
"238";"Challenger 650";"D-AWBF";"Heavy";"EDMO";"12.0";"2018.0";"Air Independence"
"239";"Saab 340B";"UR-ALG";"Heavy";"UKOO";"34.0";"1991.0";"Air Link International"
"240";"Citation CJ";"9A-JIM";"Light";"Entry level jet (VLJ)";"5.0";"1998.0";"Air Pannonia Ltd"
"241";"Citation CJ2";"9A-JIP";"Light";"LDZA";"6.0";"2004.0";"Air Pannonia Ltd"
"242";"Citation Bravo";"YU-BZZ";"Light";"LYBE";"7.0";"2002.0";"Air Pink"
"243";"Citation CJ";"YU-MTU";"Light";"LYBE";"6.0";"1999.0";"Air Pink"
"244";"Citation XLS";"YU-SPB";"Light";"LYBE";"8.0";"2008.0";"Air Pink"
"245";"Citation XLS+";"YU-PBB";"Light";"LYBE";"8.0";"2010.0";"Air Pink"
"246";"Citation XLS+";"YU-PCC";"Light";"LYBE";"8.0";"2009.0";"Air Pink"
"247";"Citation XLS+";"YU-PMK";"Light";"LYBE";"8.0";"2016.0";"Air Pink"
"248";"Citation XLS+";"YU-PNK";"Light";"LYBE";"8.0";"2016.0";"Air Pink"
"249";"Citation XLS+";"YU-PZM";"Light";"LYBE";"8.0";"2017.0";"Air Pink"
"250";"Citation XLS+";"YU-RDA";"Light";"LYBE";"8.0";"2016.0";"Air Pink"
"251";"Citation XLS+";"YU-TBA";"Light";"LYBE";"8.0";"2018.0";"Air Pink"
"252";"Citation Mustang";"CS-DPV";"Light";"LEIB";"4.0";"2008.0";"Air Nimbus"
"253";"Citation III";"CN-TKD";"Medium";"GMMN";"8.0";"1990.0";"Air Ocean Maroc"
"254";"Hawker 800XPi";"CN-TKC";"Medium";"GMMN";"8.0";"2005.0";"Air Ocean Maroc"
"255";"Beech Baron 58";"N5591A";"Turbo-prop";"KTVC";"5.0";"1989.0";"Air Services, Inc."
"256";"Beech Baron 58";"N8257H";"Turbo-prop";"KTVC";"5.0";"1992.0";"Air Services, Inc."
"257";"King Air 200";"N682DR";"Turbo-prop";"KTVC";"8.0";"1976.0";"Air Services, Inc."
